"ISIC4Code","ISIC4Part","NAICS2012Code","NAICS2012Part","Detail"
"0111",-1,"111110",0,
"0111",-1,"111120",0,
"0111",-1,"111130",0,
"0111",-1,"111140",0,
"0111",-1,"111150",0,
"0111",-1,"111191",0,
"0111",-1,"111199",0,
"0111",-1,"111992",0,
"0111",-1,"111998",-1,"field crops, n.e.c.; and combinations of grains, cereal crops, and other similar crops"
"0112",0,"111160",0,
"0113",-1,"111211",0,
"0113",-1,"111219",-1,"except kale, mangold wurzel, and pepper farming"
"0113",-1,"111411",0,
"0113",-1,"111419",-1,"growing melons, vegetables, etc. under cover"
"0113",-1,"111991",0,
"0114",0,"111930",0,
"0115",0,"111910",0,
"0116",-1,"111920",0,
"0116",-1,"111998",-1,"sisal, abaca, and other textile fibers"
"0119",-1,"111219",-1,"kale, mangold wurzel, etc. farming"
"0119",-1,"111422",0,
"0119",-1,"111940",0,
"012",-1,"111336",0,"Link to ISIC group level - combination fruit and tree nut farming"
"012",-1,"111998",-1,"ISIC group level link - combinations of fruit, nut, beverage and spice crops, based on primary"
"0121",0,"111332",0,
"0122",-1,"111339",-1,"banana and other tropical or subtropical fruit farming"
"0122",-1,"111419",-1,"tropical and subtropical fruit grown under cover"
"0123",-1,"111310",0,
"0123",-1,"111320",0,
"0124",-1,"111331",0,
"0124",-1,"111339",-1,"growing of apricots, peaches, cherries and other stone or pome fruits"
"0125",-1,"111333",0,
"0125",-1,"111334",0,
"0125",-1,"111335",-1,"except nuts used chiefly for oil extraction"
"0125",-1,"111339",-1,"other noncitrus fruit seed growing"
"0126",-1,"111335",-1,"nuts used chiefly for oil extraction including tung nuts"
"0126",-1,"111339",-1,"growing of olives and coconuts and other oleaginous fruits"
"0127",-1,"111339",-1,"growing coffee"
"0127",-1,"111998",-1,"tea and mate growing"
"0128",-1,"111219",-1,"pepper farming (e.g., bell, chili, red, green)"
"0128",-1,"111419",-1,"herbs and ginseng grown under cover"
"0128",-1,"111998",-1,"spice crop production"
"0129",-1,"111421",-1,"short rotation tree farming (such as Christmas trees)"
"0129",-1,"111998",-1,"natural rubber latex; growing maple trees for the harvest of maple sap"
"0130",0,"111421",-1,"except short rotation tree farming (such as Christmas tree farms)"
"014",0,"112990",-1,"ISIC group level link - other general livestock farms including combinations of animals, such as horses, asses, mules, cattle, sheep and goats"
"0141",-1,"112111",0,
"0141",-1,"112112",0,
"0141",-1,"112120",0,
"0141",-1,"112130",0,"null set for U.S."
"0142",0,"112920",0,
"0143",0,"112990",-1,
"0144",-1,"112410",0,
"0144",-1,"112420",0,
"0145",0,"112210",0,
"0146",-1,"112310",0,
"0146",-1,"112320",0,
"0146",-1,"112330",0,
"0146",-1,"112340",0,
"0146",-1,"112390",-1,"except emu, ostriches"
"0149",-1,"112390",-1,"emu, ostriches"
"0149",-1,"112910",0,
"0149",-1,"112930",0,
"0149",-1,"112990",-1,"other animal farms including cats, crickets and other insects, dogs, pet birds"
"0150",-1,"111998",-1,"combinations of crops, livestock, and animal specialties (primarily but less than 66% crops)"
"0150",-1,"112990",-1,"combinations of crops, livestock, and animal specialties (primarily but less than 66% livestock)"
"0161",-1,"115112",0,
"0161",-1,"115113",0,
"0161",-1,"115115",0,
"0161",-1,"115116",-1,"crop farm management services - running a farm on a contract or fee basis"
"0162",-1,"115116",-1,"animal farm management services - running a farm on a contract or fee basis"
"0162",-1,"115210",-1,"except vaccinating livestock not performed by veterinarians"
"0163",-1,"115111",0,
"0163",-1,"115114",-1,"except seed processing"
"0164",0,"115114",-1,"seed processing"
"0170",0,"114210",0,
"0210",-1,"113110",0,"operating timber tracts"
"0210",-1,"113210",-1,"except gathering forest products in the wild"
"0220",0,"113310",-1,"except separate log hauling in the forest and production of wood chips in the forest"
"0230",-1,"111998",-1,"gathering maple sap in the wild"
"0230",-1,"113210",-1,"gathering forest products in the wild"
"0240",-1,"113310",-1,"separate log hauling in the forest without logging"
"0240",-1,"115310",0,
"0311",-1,"114111",-1,"marine finfish fishing"
"0311",-1,"114112",-1,"marine shellfish fishing"
