OECD ICIO Code (count = 50),OECD ICIO Industry,ISIC Rev4 code,ISIC Rev4 Description
A01,Agriculture and hunting,A01,
A02,Forestry and logging,A02,
A03,Fishing and aquaculture,A03,
B05,Mining of coal and lignite,B05,
B06,Extraction of crude petroleum and natural gas,B06,
B07,Mining of metal ores,B07,
B08,Other mining and quarrying,B08,
B09,Mining support service activities,B09,
C10T12,Manufacture of food products; beverages and tobacco products,C10,
C10T12,Manufacture of food products; beverages and tobacco products,C11,
C10T12,Manufacture of food products; beverages and tobacco products,C12,
C13T15,"Manufacture of textiles, wearing apparel, leather and related products",C13,
C13T15,"Manufacture of textiles, wearing apparel, leather and related products",C14,
C13T15,"Manufacture of textiles, wearing apparel, leather and related products",C15,
C16,Manufacture of wood and of products of wood and cork,C16,
C17_18,Manufacture of paper and paper products; Printing and reproduction of recorded media,C17,
C17_18,Manufacture of paper and paper products; Printing and reproduction of recorded media,C18,
C19,Manufacture of coke and refined petroleum products,C19,
C20,Manufacture of chemicals and chemical products,C20,
C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C21,
C22,Manufacture of rubber and plastic products,C22,
C23,Manufacture of other non-metallic mineral products,C23,
C24A,Manufacture of basic iron and steel,C2410,
C24A,Manufacture of basic iron and steel,C2431,
C24A,Manufacture of basic iron and steel,C2432,
C24B,Manufacture of basic precious and other non-ferrous metals,C2420,
C25,Manufacture of fabricated metal products,C25,
C26,"Manufacture of computer, electronic and optical products",C26,
C27,Manufacture of electrical equipment,C27,
C28,Manufacture of machinery and equipment n.e.c. ,C28,
C29,"Manufacture of motor vehicles, trailers and semi-trailers",C29,
C301,Building of ships and boats,C301,
C302T309,Manufacture of other transport equipment,C302,
C302T309,Manufacture of other transport equipment,C303,
C302T309,Manufacture of other transport equipment,C304,
C302T309,Manufacture of other transport equipment,C305,
C302T309,Manufacture of other transport equipment,C306,
C302T309,Manufacture of other transport equipment,C307,
C302T309,Manufacture of other transport equipment,C308,
C302T309,Manufacture of other transport equipment,C309,
C31T33,Manufacture of furniture; other manufacturing; repair and installation of machinery and equipment,C31,
C31T33,Manufacture of furniture; other manufacturing; repair and installation of machinery and equipment,C32,
C31T33,Manufacture of furniture; other manufacturing; repair and installation of machinery and equipment,C33,
D,"Electricity, gas, steam and air conditioning supply",D,
E,"Water supply; sewerage, waste management and remediation activities",E,
F,Construction,F,
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,G,
H49,Land transport and transport via pipelines,H49,
H50,Water transport,H50,
H51,Air transport,H51,
H52,Warehousing and support activities for transportation,H52,
H53,Postal and courier activities,H53,
I,Accommodation and food service activities,I,
J58T60,"Publishing, Motion picture, video, television programme production and broadcasting activities",J58,
J58T60,"Publishing, Motion picture, video, television programme production and broadcasting activities",J59,
J58T60,"Publishing, Motion picture, video, television programme production and broadcasting activities",J60,
J61,Telecommunications,J61,
J62_63,Computer programming and information service activities,J62,
J62_63,Computer programming and information service activities,J63,
K,Financial and insurance activities,K,
L,Real estate activities,L,
M,"Professional, scientific and technical activities",M,
N,Administrative and support service activities,N,
O,Public administration and defence; compulsory social security,O,
P,Education,P,
Q,Human health and social work activities,Q,
R,"Arts, entertainment and recreation activities",R,
S,Other service activities,S,
T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,T,
