windc_sector,windc_desc,bea_summary,bea_summary_desc,oecd_code,OECD ICIO Industry
adm,Administrative and support services (561),561,Administrative and support services,C13T15,"Manufacture of textiles, wearing apparel, leather and related products"
adm,Administrative and support services (561),561,Administrative and support services,F,Construction
adm,Administrative and support services (561),561,Administrative and support services,N,Administrative and support service activities
adm,Administrative and support services (561),561,Administrative and support services,O,Public administration and defence; compulsory social security
adm,Administrative and support services (561),561,Administrative and support services,S,Other service activities
agr,Farms (111CA),111CA,Farms,A01,Agriculture and hunting
agr,Farms (111CA),111CA,Farms,A02,Forestry and logging
agr,Farms (111CA),111CA,Farms,A03,Fishing and aquaculture
agr,Farms (111CA),111CA,Farms,C10T12,Manufacture of food products; beverages and tobacco products
air,Air transportation (481),481,Air transportation  ,H51,Air transport
alt,Apparel and leather and allied products (315AL),315AL,Apparel and leather and allied products,C13T15,"Manufacture of textiles, wearing apparel, leather and related products"
alt,Apparel and leather and allied products (315AL),315AL,Apparel and leather and allied products,C22,Manufacture of rubber and plastic products
amb,Ambulatory health care services (621),621,Ambulatory health care services,Q,Human health and social work activities
amd,Accommodation (721),721,Accommodation,I,Accommodation and food service activities
amd,Accommodation (721),721,Accommodation,R,"Arts, entertainment and recreation activities"
art,"Performing arts, spectator sports, museums, and related activities (711AS)",711AS,"Performing arts, spectator sports, museums, and related activities",C31T33,Manufacture of furniture; other manufacturing; repair and installation of machinery and equipment
art,"Performing arts, spectator sports, museums, and related activities (711AS)",711AS,"Performing arts, spectator sports, museums, and related activities",M,"Professional, scientific and technical activities"
art,"Performing arts, spectator sports, museums, and related activities (711AS)",711AS,"Performing arts, spectator sports, museums, and related activities",R,"Arts, entertainment and recreation activities"
bnk,"Federal Reserve banks, credit intermediation, and related activities (521CI)",521CI,"Federal Reserve banks, credit intermediation, and related activities",K,Financial and insurance activities
brd,Broadcasting and telecommunications (513),513,Broadcasting and telecommunications,J58T60,"Publishing, Motion picture, video, television programme production and broadcasting activities"
brd,Broadcasting and telecommunications (513),513,Broadcasting and telecommunications,J61,Telecommunications
cep,Computer and electronic products (334),334,Computer and electronic products,C17_18,Manufacture of paper and paper products; Printing and reproduction of recorded media
cep,Computer and electronic products (334),334,Computer and electronic products,C26,"Manufacture of computer, electronic and optical products"
cep,Computer and electronic products (334),334,Computer and electronic products,C27,Manufacture of electrical equipment
cep,Computer and electronic products (334),334,Computer and electronic products,C302T309,Manufacture of other transport equipment
che,Chemical products (325),325,Chemical products,C19,Manufacture of coke and refined petroleum products
che,Chemical products (325),325,Chemical products,C20,Manufacture of chemicals and chemical products
che,Chemical products (325),325,Chemical products,C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations
che,Chemical products (325),325,Chemical products,C22,Manufacture of rubber and plastic products
che,Chemical products (325),325,Chemical products,C23,Manufacture of other non-metallic mineral products
che,Chemical products (325),325,Chemical products,C28,Manufacture of machinery and equipment n.e.c. 
che,Chemical products (325),325,Chemical products,N,Administrative and support service activities
com,Computer systems design and related services (5415),5415,Computer systems design and related services,J62_63,Computer programming and information service activities
con,Construction (23),23,Construction,C31T33,Manufacture of furniture; other manufacturing; repair and installation of machinery and equipment
con,Construction (23),23,Construction,F,Construction
con,Construction (23),23,Construction,N,Administrative and support service activities
dat,"Data processing, internet publishing, and other information services (514)",514,"Data processing, internet publishing, and other information services",J58T60,"Publishing, Motion picture, video, television programme production and broadcasting activities"
dat,"Data processing, internet publishing, and other information services (514)",514,"Data processing, internet publishing, and other information services",J62_63,Computer programming and information service activities
dat,"Data processing, internet publishing, and other information services (514)",514,"Data processing, internet publishing, and other information services",M,"Professional, scientific and technical activities"
dat,"Data processing, internet publishing, and other information services (514)",514,"Data processing, internet publishing, and other information services",R,"Arts, entertainment and recreation activities"
edu,Educational services (61),61,Educational services,P,Education
eec,"Electrical equipment, appliances, and components (335)",335,"Electrical equipment, appliances, and components",C13T15,"Manufacture of textiles, wearing apparel, leather and related products"
eec,"Electrical equipment, appliances, and components (335)",335,"Electrical equipment, appliances, and components",C23,Manufacture of other non-metallic mineral products
eec,"Electrical equipment, appliances, and components (335)",335,"Electrical equipment, appliances, and components",C27,Manufacture of electrical equipment
fbp,Food and beverage and tobacco products (311FT),311FT,Food and beverage and tobacco products,A03,Fishing and aquaculture
fbp,Food and beverage and tobacco products (311FT),311FT,Food and beverage and tobacco products,B08,Other mining and quarrying
fbp,Food and beverage and tobacco products (311FT),311FT,Food and beverage and tobacco products,C10T12,Manufacture of food products; beverages and tobacco products
fbp,Food and beverage and tobacco products (311FT),311FT,Food and beverage and tobacco products,C20,Manufacture of chemicals and chemical products
fbp,Food and beverage and tobacco products (311FT),311FT,Food and beverage and tobacco products,D,"Electricity, gas, steam and air conditioning supply"
fbt,Food and beverage stores (445),445,Food and beverage stores,G,Wholesale and retail trade; repair of motor vehicles and motorcycles
fdd,Federal general government (defense) (GFGD),GFGD,Federal general government (defense),O,Public administration and defence; compulsory social security
fen,Federal government enterprises (GFE),GFE,Federal government enterprises,H53,Postal and courier activities
fin,"Funds, trusts, and other financial vehicles (525)",525,"Funds, trusts, and other financial vehicles",K,Financial and insurance activities
