Accommodation and food service activities,oecd
Administrative and support service activities,match
"Agriculture, hunting, forestry, fishing and related",none
Air transport,match
"Arts, entertainment and recreation activities",oecd
"broadcasting, telecommunications, data processing, publishing, information services, motion picture, video, television",none
Construction,match
Education,match
"Electricity, gas, steam and air conditioning supply, and wasterwater",none
Federal government enterprises (GFE),windc
Financial and insurance activities,oecd
Human health and social work activities,oecd
Land transport and transport via pipelines,oecd
"Manufacture of chemicals and chemical products, pharmaceutical",windc
Manufacture of coke and refined petroleum products,match
"Manufacture of computer, electronic and optical products",match
Manufacture of electrical equipment,match
Manufacture of fabricated metal products,match
Manufacture of food and beverage and tobacco products,match
Manufacture of furniture,match
Manufacture of machinery and equipment n.e.c. ,oecd
"Manufacture of motor vehicles, trailers and semi-trailers",match
Manufacture of other non-metallic mineral products,match
Manufacture of other transport equipment,windc
Manufacture of paper and paper products,oecd
Manufacture of rubber and plastic products,match
"Manufacture of textiles, wearing apparel, leather and related products",oecd
Manufacture of wood and of products of wood and cork,match
"Mining, except oil & gas",windc
Oil and gas extraction,match
Other service activities,oecd
primary metals,windc
"Professional, scientific and technical activities",oecd
proposed sector,which is larger?
Public administration and defence,oecd
Real estate activities,oecd
Support activities for mining,match
Warehousing and support activities for transportation,oecd
Water transport,match
"Wholesale and retail trade, stores",none
