build,gamma,L1_vs_gamma1,L1_vs_CFS,L1_vs_FAF,pearson_log_CFS,spearman_CFS,exp_partner_L1_CFS,top_exp_recovery_CFS,top_imp_recovery_CFS,top_exp_recovery_FAF,mean_CA_export_share,NV_to_CA_goods,intra_share_goods,n_distinct_leaders_goods,leader_CA_goods,leader_NY_goods,leader_TX_goods,n_distinct_leaders_all_interm,leader_CA_all_interm,leader_NY_all_interm,leader_TX_all_interm
g0.1,0.1,0.3752253276543903,0.6251424725784904,0.6597018489837234,0.8367547388007239,0.8455935399495718,0.7202496293662669,0.19607843137254902,0.19607843137254902,0.13725490196078433,0.08982168673029711,0.11728596644927236,0.3670760080157552,3,45,3,3,3.0,34.0,16.0,1.0
g0.25,0.25,0.31900851391011387,0.5878366681758805,0.6215743546585103,0.8506210659248926,0.862321786152499,0.6733121291929829,0.2549019607843137,0.19607843137254902,0.19607843137254902,0.09239026500418718,0.15843235038230935,0.36707613268276434,5,36,8,5,3.0,34.0,16.0,1.0
g0.5,0.5,0.21756955760152957,0.527542428237052,0.5599535756119395,0.8665636606526522,0.883342511480676,0.5947496371604136,0.3137254901960784,0.3137254901960784,0.27450980392156865,0.09715101527119571,0.2450826988790377,0.36708044862223416,7,24,12,8,4.0,31.0,14.0,5.0
g0.75,0.75,0.10963904818418063,0.47758989206904107,0.5066048771943703,0.8732294798501954,0.8954135452389502,0.526986295137003,0.43137254901960786,0.35294117647058826,0.39215686274509803,0.10227916146869205,0.34664636504620455,0.36709016416474455,13,19,8,9,10.0,22.0,11.0,7.0
g1.0,1.0,0.0,0.44701899562652236,0.46923297393792246,0.8711853307472857,0.8980462610435167,0.4863027511125882,0.47058823529411764,0.37254901960784315,0.43137254901960786,0.1074069549678355,0.4494140360771789,0.36710434470891473,13,18,6,9,13.0,18.0,10.0,8.0
g1.25,1.25,0.10669196512060942,0.43928679935876747,0.4537280024270778,0.8618902080739079,0.8925451422837994,0.47046354993828055,0.49019607843137253,0.4117647058823529,0.45098039215686275,0.11219995447340204,0.5416045752526605,0.36712082034096377,14,18,6,8,15.0,17.0,7.0,8.0
g1.5,1.5,0.20647235359266924,0.4498415708255243,0.4586702630507984,0.8473272670316774,0.8806760756628484,0.4750430476417952,0.5098039215686274,0.5098039215686274,0.47058823529411764,0.11644873741665017,0.6179626248584589,0.3671370690667776,15,18,4,8,18.0,16.0,7.0,7.0
g2.0,2.0,0.37778610337462926,0.5054010973632975,0.49842940440512723,0.8103321577876038,0.8467216866015215,0.5294737032792026,0.5686274509803921,0.5490196078431373,0.5294117647058824,0.12303307457054226,0.7264111212651921,0.36716249513362237,17,16,4,9,20.0,13.0,5.0,6.0
g2.5,2.5,0.5101103539241346,0.5726343609967021,0.5567199284859895,0.7724114581208329,0.809297194514833,0.610783031052095,0.6470588235294118,0.5686274509803921,0.6078431372549019,0.12719305563975092,0.7940130189781792,0.3671772748556771,21,12,4,8,22.0,12.0,5.0,6.0
g3.0,3.0,0.6091985731257951,0.6391230512810036,0.6178574882522918,0.7388550408415275,0.7737457757705272,0.6803191475082656,0.6862745098039216,0.6078431372549019,0.6470588235294118,0.1290252817380641,0.8361123420090996,0.3671859981690794,22,10,4,8,25.0,11.0,5.0,4.0
scen_economic,1.2197183098591549,0.5102576110792796,0.572645862873168,0.556729506488132,0.7726499281708377,0.8095180019748848,0.6107713746213356,0.6470588235294118,0.5686274509803921,0.6078431372549019,0.12732674716929152,0.7943810042171133,0.36722980895840457,21,12,4,8,13.0,19.0,10.0,7.0
scen_structured_rand,1.2914150764667292,0.48653801074931663,0.5570046992439597,0.541071382437148,0.7909460695423031,0.8272417269419043,0.5868691527326209,0.6078431372549019,0.5490196078431373,0.5686274509803921,0.12619946769921828,0.7979211178659553,0.36723851177568706,18,15,4,7,14.0,19.0,9.0,7.0
scen_random_0,1.597469465628047,0.17496529826584017,0.45059663882867773,0.46015504851790456,0.8601622004929604,0.8861219301650434,0.47327493755665057,0.5098039215686274,0.5294117647058824,0.5098039215686274,0.11353875931442577,0.552974995788723,0.3671029867354527,16,17,4,9,21.0,13.0,5.0,6.0
scen_random_1,1.3267587554137314,0.12966523468929228,0.43865714918424553,0.4556034419078424,0.8583156248820403,0.8885498722769215,0.469416435340661,0.5098039215686274,0.43137254901960786,0.47058823529411764,0.11138477804225155,0.6233664490413137,0.36716843169090335,14,17,4,9,16.0,17.0,7.0,7.0
scen_random_2,1.6111020049908982,0.22316319629551762,0.44948792158903483,0.4525524597984051,0.8584794152086119,0.8933451523303962,0.4796131809717535,0.5490196078431373,0.5294117647058824,0.5098039215686274,0.11394932371634219,0.42353663905120387,0.3671312279210331,16,16,4,9,19.0,16.0,6.0,6.0
CFS,,0.44701899562652236,0.0,0.08924835673428819,,,,,,,0.07540694758782135,0.33610271110481793,,24,7,3,5,,,,
FAF,,0.46923297393792246,0.08924835673428819,0.0,,,,,,,0.0813573643880729,0.37068208970944505,,28,5,3,5,,,,
