build,origin,share_to_CA
g0.1,AK,0.10704282051036228
g0.1,AL,0.08720264177246884
g0.1,AR,0.0885062969265278
g0.1,AZ,0.12354794203878756
g0.1,CA,0.0
g0.1,CO,0.11736757306902916
g0.1,CT,0.08320525469442198
g0.1,DC,0.06134608131285364
g0.1,DE,0.07767844397435954
g0.1,FL,0.0886292208200848
g0.1,GA,0.0892885459444652
g0.1,HI,0.08054323080472647
g0.1,IA,0.08986447416022408
g0.1,ID,0.1179928158423781
g0.1,IL,0.08550085559340474
g0.1,IN,0.07844943715611222
g0.1,KS,0.08143705643153992
g0.1,KY,0.08181772546674924
g0.1,LA,0.0521863296866021
g0.1,MA,0.11305727027973936
g0.1,MD,0.09608209636483811
g0.1,ME,0.08642318182712617
g0.1,MI,0.08898087167789348
g0.1,MN,0.10111999389048966
g0.1,MO,0.08807161472298668
g0.1,MS,0.07979343421492702
g0.1,MT,0.06558362654502603
g0.1,NC,0.08924301514365897
g0.1,ND,0.09980012779229865
g0.1,NE,0.08425787609904482
g0.1,NH,0.09603799603371137
g0.1,NJ,0.07876219736253871
g0.1,NM,0.09824561051672466
g0.1,NV,0.12577172089676839
g0.1,NY,0.09860527771539701
g0.1,OH,0.08297184233153268
g0.1,OK,0.09871589690271568
g0.1,OR,0.1569866215679679
g0.1,PA,0.08565003798528945
g0.1,RI,0.08710772206954796
g0.1,SC,0.09295272429416616
g0.1,SD,0.0861072341494647
g0.1,TN,0.08484766175273287
g0.1,TX,0.09249279450521392
g0.1,UT,0.10135719096745424
g0.1,VA,0.08301072012256035
g0.1,VT,0.08108990100363278
g0.1,WA,0.10468216692618318
g0.1,WI,0.09465981038333893
g0.1,WV,0.08251593580194588
g0.1,WY,0.09446347398802618
g0.25,AK,0.1224201494988721
g0.25,AL,0.08386523485236506
g0.25,AR,0.08852489891337305
g0.25,AZ,0.14446397143390652
g0.25,CA,0.0
g0.25,CO,0.12837468115337106
g0.25,CT,0.07552837929691926
g0.25,DC,0.05581397459569247
g0.25,DE,0.07059867214646856
g0.25,FL,0.08608758834963945
g0.25,GA,0.08544309478835775
g0.25,HI,0.09568482138674395
g0.25,IA,0.09076803115507293
g0.25,ID,0.14785595516948832
g0.25,IL,0.08391569908903176
g0.25,IN,0.07474731776497598
g0.25,KS,0.08227835438187059
g0.25,KY,0.07692342786052811
g0.25,LA,0.05207938259460219
g0.25,MA,0.10484532881326573
g0.25,MD,0.0868527962603443
g0.25,ME,0.08243274731776169
g0.25,MI,0.08698422433787295
g0.25,MN,0.10240139486658863
g0.25,MO,0.08790517916230978
g0.25,MS,0.07868346669940116
g0.25,MT,0.0759926145894524
g0.25,NC,0.08379558430260428
g0.25,ND,0.10610435422588267
g0.25,NE,0.08692177262290096
g0.25,NH,0.08974735659785806
g0.25,NJ,0.07284748352652942
g0.25,NM,0.10647246518078296
g0.25,NV,0.18613315633822447
g0.25,NY,0.09325731367965176
g0.25,OH,0.07807713644949102
g0.25,OK,0.09914555589789743
g0.25,OR,0.1969160333074074
g0.25,PA,0.07969543828000851
g0.25,RI,0.07957039423155843
g0.25,SC,0.08846359605313206
g0.25,SD,0.09244379772848527
