build,model,scope,total_M$,tv_vs_gamma1,spearman_vs_gamma1,pearson_log_vs_gamma1,gini,top5_share,top5_share_of_gamma1_top5,max_abs_share_change_pp,argmax_share_change,top1
g0.1,Leontief,us_other,-184458.70140656282,0.24201261437675908,0.9190396158463385,0.8994824725478275,0.48788527003639237,0.33236271264378137,0.27214022679590427,9.069960103400208,NJ,CA
g0.1,Leontief,world,-37710.722472907204,0.0002542370443687233,1.0,0.999999914947552,0.7350898298010219,0.4590697488029926,0.4590697488029926,0.0070655371276012735,CHN,CHN
g0.1,IIM,us_other,-350278.76748894097,0.24407633938950807,0.9250900360144058,0.9015846991451721,0.4923918464120126,0.335792022096902,0.2779736055651859,9.076423533516621,NJ,CA
g0.1,IIM,world,-68181.19970316005,0.00017450469229571893,1.0,0.9999999524968709,0.7336316426466518,0.45540837802489165,0.45540837802489165,0.004275386048521734,GBR,CHN
g0.1,Ghosh,us_other,-253289.44810603483,0.18820282749620104,0.9398799519807923,0.9244134522238966,0.48478590867249405,0.33359804301164464,0.3082554083917275,6.4859946949888405,NJ,CA
g0.1,Ghosh,world,-49416.419458969496,0.004099459853057444,0.9999062353492734,0.9999902378802212,0.702925370064085,0.38312643420219183,0.38312643420219183,0.1632405177859217,CHN,CHN
g0.25,Leontief,us_other,-184353.040821409,0.20793473164371062,0.9412244897959183,0.9317974562151441,0.49532396601159534,0.332157237826574,0.2917748046519719,8.003146754716758,NJ,CA
g0.25,Leontief,world,-37729.41408302607,0.00021610226591197687,1.0,0.9999999349843457,0.7350853337997905,0.4590591005703325,0.4590591005703325,0.0066742532442848335,CHN,CHN
g0.25,IIM,us_other,-349919.990281653,0.20966776348827446,0.9415126050420167,0.9331983044959233,0.49984620625592857,0.3354301861552357,0.2976428763046552,8.005401349686567,NJ,CA
g0.25,IIM,world,-68192.60503376348,0.00013911792883294067,1.0,0.9999999663690037,0.7336290854624633,0.4554023574279445,0.4554023574279445,0.004497584611799776,GBR,CHN
g0.25,Ghosh,us_other,-252690.05400578657,0.1604652978384981,0.9549579831932773,0.9491133264661542,0.49001941216877526,0.3314491078093352,0.316779192842933,5.664751991046934,NJ,CA
g0.25,Ghosh,world,-49361.336246386556,0.0035529140516693467,0.9999062353492734,0.9999927810348674,0.7028053841494426,0.3829637796471486,0.38296377964714856,0.14123499340637918,CHN,CHN
g0.5,Leontief,us_other,-183859.6674940942,0.14313943436581072,0.9662905162064825,0.9718515533060756,0.5150430010897746,0.3517943438389913,0.33118798299127905,5.747390784665118,NJ,CA
