build,scope,origin,leader
g0.1,goods,AK,TX
g0.1,goods,AL,CA
g0.1,goods,AR,CA
g0.1,goods,AZ,CA
g0.1,goods,CA,TX
g0.1,goods,CO,CA
g0.1,goods,CT,CA
g0.1,goods,DC,CA
g0.1,goods,DE,CA
g0.1,goods,FL,CA
g0.1,goods,GA,CA
g0.1,goods,HI,CA
g0.1,goods,IA,CA
g0.1,goods,ID,CA
g0.1,goods,IL,CA
g0.1,goods,IN,CA
g0.1,goods,KS,CA
g0.1,goods,KY,CA
g0.1,goods,LA,FL
g0.1,goods,MA,CA
g0.1,goods,MD,CA
g0.1,goods,ME,CA
g0.1,goods,MI,CA
g0.1,goods,MN,CA
g0.1,goods,MO,CA
g0.1,goods,MS,CA
g0.1,goods,MT,NY
g0.1,goods,NC,CA
g0.1,goods,ND,CA
g0.1,goods,NE,CA
g0.1,goods,NH,CA
g0.1,goods,NJ,NY
g0.1,goods,NM,CA
g0.1,goods,NV,CA
g0.1,goods,NY,CA
g0.1,goods,OH,CA
g0.1,goods,OK,TX
g0.1,goods,OR,CA
g0.1,goods,PA,CA
g0.1,goods,RI,CA
g0.1,goods,SC,CA
g0.1,goods,SD,CA
g0.1,goods,TN,CA
g0.1,goods,TX,CA
g0.1,goods,UT,CA
g0.1,goods,VA,CA
g0.1,goods,VT,CA
g0.1,goods,WA,CA
g0.1,goods,WI,CA
g0.1,goods,WV,CA
g0.1,goods,WY,CA
g0.1,all_interm,AK,CA
g0.1,all_interm,AL,CA
g0.1,all_interm,AR,CA
g0.1,all_interm,AZ,CA
g0.1,all_interm,CA,NY
g0.1,all_interm,CO,CA
g0.1,all_interm,CT,NY
g0.1,all_interm,DC,NY
g0.1,all_interm,DE,NY
g0.1,all_interm,FL,NY
g0.1,all_interm,GA,CA
g0.1,all_interm,HI,CA
g0.1,all_interm,IA,CA
g0.1,all_interm,ID,CA
g0.1,all_interm,IL,CA
g0.1,all_interm,IN,CA
g0.1,all_interm,KS,CA
g0.1,all_interm,KY,CA
g0.1,all_interm,LA,NY
g0.1,all_interm,MA,NY
g0.1,all_interm,MD,NY
g0.1,all_interm,ME,NY
g0.1,all_interm,MI,CA
g0.1,all_interm,MN,CA
g0.1,all_interm,MO,CA
g0.1,all_interm,MS,CA
g0.1,all_interm,MT,CA
g0.1,all_interm,NC,NY
g0.1,all_interm,ND,CA
g0.1,all_interm,NE,CA
g0.1,all_interm,NH,NY
g0.1,all_interm,NJ,NY
g0.1,all_interm,NM,CA
g0.1,all_interm,NV,CA
g0.1,all_interm,NY,CA
g0.1,all_interm,OH,CA
g0.1,all_interm,OK,TX
g0.1,all_interm,OR,CA
g0.1,all_interm,PA,NY
g0.1,all_interm,RI,NY
g0.1,all_interm,SC,CA
g0.1,all_interm,SD,CA
g0.1,all_interm,TN,CA
g0.1,all_interm,TX,CA
g0.1,all_interm,UT,CA
g0.1,all_interm,VA,NY
g0.1,all_interm,VT,NY
g0.1,all_interm,WA,CA
g0.1,all_interm,WI,CA
g0.1,all_interm,WV,CA
g0.1,all_interm,WY,CA
g0.25,goods,AK,CA
g0.25,goods,AL,CA
g0.25,goods,AR,TX
g0.25,goods,AZ,CA
g0.25,goods,CA,TX
g0.25,goods,CO,CA
g0.25,goods,CT,NY
g0.25,goods,DC,NY
g0.25,goods,DE,NY
g0.25,goods,FL,CA
g0.25,goods,GA,CA
g0.25,goods,HI,CA
g0.25,goods,IA,CA
g0.25,goods,ID,CA
g0.25,goods,IL,CA
g0.25,goods,IN,MI
g0.25,goods,KS,CA
g0.25,goods,KY,CA
g0.25,goods,LA,FL
g0.25,goods,MA,CA
g0.25,goods,MD,CA
g0.25,goods,ME,CA
g0.25,goods,MI,CA
g0.25,goods,MN,CA
g0.25,goods,MO,CA
g0.25,goods,MS,TX
g0.25,goods,MT,NY
g0.25,goods,NC,CA
g0.25,goods,ND,CA
g0.25,goods,NE,CA
g0.25,goods,NH,NY
g0.25,goods,NJ,NY
g0.25,goods,NM,CA
g0.25,goods,NV,CA
g0.25,goods,NY,CA
g0.25,goods,OH,CA
g0.25,goods,OK,TX
g0.25,goods,OR,CA
g0.25,goods,PA,CA
g0.25,goods,RI,NY
g0.25,goods,SC,CA
g0.25,goods,SD,CA
g0.25,goods,TN,CA
g0.25,goods,TX,CA
g0.25,goods,UT,CA
g0.25,goods,VA,CA
g0.25,goods,VT,NY
g0.25,goods,WA,CA
g0.25,goods,WI,CA
g0.25,goods,WV,CA
g0.25,goods,WY,CA
g0.25,all_interm,AK,CA
g0.25,all_interm,AL,CA
g0.25,all_interm,AR,CA
g0.25,all_interm,AZ,CA
g0.25,all_interm,CA,NY
g0.25,all_interm,CO,CA
g0.25,all_interm,CT,NY
g0.25,all_interm,DC,NY
g0.25,all_interm,DE,NY
g0.25,all_interm,FL,NY
g0.25,all_interm,GA,CA
g0.25,all_interm,HI,CA
g0.25,all_interm,IA,CA
g0.25,all_interm,ID,CA
g0.25,all_interm,IL,CA
g0.25,all_interm,IN,CA
g0.25,all_interm,KS,CA
g0.25,all_interm,KY,CA
g0.25,all_interm,LA,NY
g0.25,all_interm,MA,NY
g0.25,all_interm,MD,NY
g0.25,all_interm,ME,NY
g0.25,all_interm,MI,CA
g0.25,all_interm,MN,CA
g0.25,all_interm,MO,CA
g0.25,all_interm,MS,CA
g0.25,all_interm,MT,CA
g0.25,all_interm,NC,NY
g0.25,all_interm,ND,CA
g0.25,all_interm,NE,CA
g0.25,all_interm,NH,NY
g0.25,all_interm,NJ,NY
g0.25,all_interm,NM,CA
g0.25,all_interm,NV,CA
g0.25,all_interm,NY,CA
g0.25,all_interm,OH,NY
g0.25,all_interm,OK,TX
g0.25,all_interm,OR,CA
g0.25,all_interm,PA,NY
g0.25,all_interm,RI,NY
g0.25,all_interm,SC,CA
g0.25,all_interm,SD,CA
g0.25,all_interm,TN,CA
g0.25,all_interm,TX,CA
g0.25,all_interm,UT,CA
g0.25,all_interm,VA,NY
g0.25,all_interm,VT,NY
g0.25,all_interm,WA,CA
g0.25,all_interm,WI,CA
g0.25,all_interm,WV,CA
g0.25,all_interm,WY,CA
g0.5,goods,AK,CA
g0.5,goods,AL,FL
g0.5,goods,AR,TX
g0.5,goods,AZ,CA
g0.5,goods,CA,TX
g0.5,goods,CO,CA
g0.5,goods,CT,NY
g0.5,goods,DC,NY
g0.5,goods,DE,NY
g0.5,goods,FL,TX
g0.5,goods,GA,FL
g0.5,goods,HI,CA
g0.5,goods,IA,CA
g0.5,goods,ID,CA
g0.5,goods,IL,CA
g0.5,goods,IN,MI
g0.5,goods,KS,TX
g0.5,goods,KY,CA
g0.5,goods,LA,FL
g0.5,goods,MA,NY
g0.5,goods,MD,NY
g0.5,goods,ME,NY
g0.5,goods,MI,CA
g0.5,goods,MN,CA
g0.5,goods,MO,CA
g0.5,goods,MS,TX
g0.5,goods,MT,CA
g0.5,goods,NC,CA
g0.5,goods,ND,CA
g0.5,goods,NE,CA
g0.5,goods,NH,NY
g0.5,goods,NJ,NY
g0.5,goods,NM,CA
g0.5,goods,NV,CA
g0.5,goods,NY,CA
g0.5,goods,OH,MI
g0.5,goods,OK,TX
g0.5,goods,OR,CA
g0.5,goods,PA,NY
g0.5,goods,RI,NY
g0.5,goods,SC,CA
g0.5,goods,SD,CA
g0.5,goods,TN,TX
g0.5,goods,TX,CA
g0.5,goods,UT,CA
g0.5,goods,VA,NY
g0.5,goods,VT,NY
g0.5,goods,WA,CA
g0.5,goods,WI,CA
g0.5,goods,WV,OH
g0.5,goods,WY,CA
g0.5,all_interm,AK,CA
g0.5,all_interm,AL,FL
g0.5,all_interm,AR,TX
g0.5,all_interm,AZ,CA
g0.5,all_interm,CA,TX
g0.5,all_interm,CO,CA
g0.5,all_interm,CT,NY
g0.5,all_interm,DC,NY
g0.5,all_interm,DE,NY
g0.5,all_interm,FL,CA
g0.5,all_interm,GA,FL
g0.5,all_interm,HI,CA
g0.5,all_interm,IA,CA
g0.5,all_interm,ID,CA
g0.5,all_interm,IL,CA
g0.5,all_interm,IN,CA
g0.5,all_interm,KS,CA
g0.5,all_interm,KY,CA
g0.5,all_interm,LA,TX
g0.5,all_interm,MA,NY
g0.5,all_interm,MD,NY
g0.5,all_interm,ME,NY
g0.5,all_interm,MI,NY
g0.5,all_interm,MN,CA
g0.5,all_interm,MO,CA
g0.5,all_interm,MS,TX
g0.5,all_interm,MT,CA
g0.5,all_interm,NC,NY
g0.5,all_interm,ND,CA
g0.5,all_interm,NE,CA
g0.5,all_interm,NH,NY
g0.5,all_interm,NJ,NY
g0.5,all_interm,NM,CA
g0.5,all_interm,NV,CA
g0.5,all_interm,NY,CA
g0.5,all_interm,OH,NY
g0.5,all_interm,OK,TX
g0.5,all_interm,OR,CA
g0.5,all_interm,PA,NY
g0.5,all_interm,RI,NY
g0.5,all_interm,SC,NY
g0.5,all_interm,SD,CA
g0.5,all_interm,TN,CA
g0.5,all_interm,TX,CA
g0.5,all_interm,UT,CA
g0.5,all_interm,VA,NY
g0.5,all_interm,VT,NY
g0.5,all_interm,WA,CA
