sector,class,economic,structured_rand,random_0,random_1,random_2
adm,service,0.3,0.45827513729017977,2.868005128886926,0.38571060830759885,0.7524733743253383
agr,heavy,2.5,2.9405564355911222,0.6230454302374406,1.4978335873203448,2.840258828578274
air,transport,1.2,0.915327690175707,2.4853346558235923,1.8044950728700724,0.5679611536192839
alt,heavy,2.5,2.938379336564693,0.4478463692460608,0.08606702511583364,0.5378742312543228
amb,service,0.3,0.3182820164073399,1.5384138493096944,0.4437782537323678,1.0496677217878725
amd,service,0.3,0.39632851428080296,0.40775881206151987,2.7846330688811083,0.6916237397697178
art,service,0.3,0.6793918156743093,2.0671094393433935,0.2112617284625905,2.011337228318354
bnk,service,0.3,0.3864393954584129,2.525243172936837,0.38932184819789395,0.34523814637034245
brd,service,0.3,0.4847155813711417,1.2765269922149298,2.8449853598753254,2.6889281211140412
cep,heavy,2.5,1.8330709358916821,2.8707780103600986,1.8656507783891485,2.5743914672517265
che,heavy,2.5,2.704215730409768,2.475998719154395,1.106979371189373,0.00848109655986018
com,service,0.3,0.47670031925349476,1.0146459374147279,1.5341700654097878,1.6243984851563829
con,heavy,2.5,2.1956780597989107,1.7272816438335408,1.9885288575503979,0.32055382207121985
dat,service,0.3,0.651900092399883,2.259905594125431,0.8259264472833879,0.7738648762829708
edu,service,0.3,0.3122363805041515,2.481311811074386,0.413904218600866,1.2506881218993082
eec,heavy,2.5,2.344197467376782,2.800315412554744,2.3641187835119757,1.3608483655598294
fbp,heavy,2.5,1.9608500366965977,0.4349840848086819,2.0110817523074513,1.404439772831702
fbt,service,0.3,0.3821790905129905,2.2367406331318125,1.5371469404494813,2.782550102616979
fdd,service,0.3,0.24241866847330476,0.4180541816034671,2.450209307908974,0.7763132682664513
fen,transport,1.2,1.0098506723534797,2.7195862683387806,1.647225806610079,0.5636706323536138
fin,service,0.3,0.6252552708410368,0.6783433010235823,2.9427409178919164,2.0115314221635003
fmt,heavy,2.5,2.136490509583248,2.5597192497168186,0.6135283839901347,2.8398561100559334
fnd,service,0.3,0.4396336821021446,0.9189535965963714,1.6611910885956833,2.768432626331254
fof,heavy,2.5,2.9768846397614865,2.909491104618965,1.4508740907701632,2.6407499997704207
fpd,heavy,2.5,2.953988632396544,1.553502640850609,1.0598245651813443,0.19306708777084436
gmt,service,0.3,0.6073529585414735,0.967423676298184,1.7747859118471303,2.810088374787401
grd,transport,1.2,1.2329814844379474,0.8473005514940387,0.7059036950027416,1.9477211071634262
hos,service,0.3,0.2938238428317596,1.817594987459028,2.4066080513354504,2.614667536575889
hou,service,0.3,0.21245640614258882,1.001293370158015,2.602000655527244,1.2242954041679528
ins,service,0.3,0.7789477892512928,2.035946320524429,0.3862790136835531,0.6581698035250146
leg,service,0.3,0.4612480098835151,0.46327521138268213,1.4012196202148135,2.3789102306840793
man,service,0.3,0.18110592872953923,0.7493265581888495,0.831434677601113,1.984903412975351
mch,heavy,2.5,2.5481877066450007,2.6096827381683294,0.24935099320572718,2.3365202760662163
min,heavy,2.5,2.7320197372107575,1.8011034613077572,2.6878329247511026,0.6040340937053094
mmf,heavy,2.5,2.5356039612636487,0.7859491679116012,1.289846076143506,0.4030552118951777
mot,heavy,2.5,2.900757245749083,0.4482447017429648,0.4430738998862822,2.2908752689130143
mov,service,0.3,0.127715013664942,0.4103674484555685,2.0200870718277324,0.06068617113025965
mvt,service,0.3,0.47001248428201514,0.7467628127744891,0.6066480833641145,2.836802043895818
nmp,heavy,2.5,2.3512030594624846,1.1484739997112219,2.704293236064531,0.40526358752779656
nrs,service,0.3,0.14364470540491292,1.9472371698733066,0.6514447722555845,1.800330856588803
oil,heavy,2.5,2.56959380296725,2.512691280183185,0.09922406213228607,1.2570211440344043
ore,service,0.3,0.6968429869364597,2.3280958410314296,0.602306862483658,0.9716851564022283
osv,service,0.3,0.5150587126729989,1.0185467257032559,1.0372436212669185,0.5107388146908138
ote,heavy,2.5,2.112116937284668,0.44570621481697126,1.4067244902674538,2.3411484038793144
otr,transport,1.2,1.4719052168251272,1.371058160077104,2.7184030166866817,2.7435737617667764
ott,service,0.3,0.45664711706505656,1.313593073066401,2.0920832662088933,2.1866141455836203
pet,heavy,2.5,2.4130666613598395,1.72265276970906,1.0179619822273358,1.8008543627011608
pip,transport,1.2,1.4024241661617425,1.119807670560872,0.05063164529249353,2.1343616108957666
pla,heavy,2.5,1.977506442941948,1.9014751720862964,0.47947108231494295,1.6082658195334707
pmt,heavy,2.5,2.7835520629431323,0.3439330769374531,2.9893076266190115,1.6747960254088918
ppd,heavy,2.5,2.6199442872039085,0.6992714226943151,1.3791479396795538,2.7182516104487284
pri,heavy,2.5,2.7445163298657613,2.3017230511161815,2.0731197489562776,0.8479212316329849
pub,service,0.3,0.2341313813140947,2.9613728156702814,0.164004184205514,0.6666416948727659
rec,service,0.3,0.661654912794171,2.4240032379670824,0.10215083684111281,2.840904614181561
res,service,0.3,0.2339267482400402,2.528896932074772,2.5376703193351724,2.8293500295641367
rnt,service,0.3,0.1570868321544589,2.3870480357857518,1.7636458220005815,1.4279913819375705
sec,service,0.3,0.6986588820009492,1.3705239197545094,0.926129229613686,2.4023340033243126
sle,service,0.3,0.7028984473243679,2.216012025108017,0.9521299148440123,2.229749926009202
slg,service,0.3,0.7135759674916063,1.735364977797063,0.2677117632532463,2.8477983634709103
smn,service,0.3,0.4303368035511532,1.3522067002726925,0.5180088033257263,0.2451098677850344
soc,service,0.3,0.2918338720296028,0.8130732528187615,0.0737583223955589,2.694471592526037
tex,heavy,2.5,1.8085101943237996,2.5938094398539437,2.517374545118345,1.500371543003871
trk,transport,1.2,1.3165767164599584,0.205966997755599,1.3989095916094954,1.346890144719643
trn,transport,1.2,1.3759275068069545,2.4502033785621804,0.3816087481755912,2.0602803420880806
tsv,service,0.3,0.6848984515501919,2.6455049966375777,2.217740622101076,1.8494304658206269
