sector,build,Leontief,IIM,Ghosh
Accommodation and food service activities,g0.1,-2389.277372416536,-4622.756038676408,-8764.32915342808
Administrative and support service activities,g0.1,-15578.470575162612,-31221.753460000327,-8980.167915633407
"Agriculture, hunting, forestry, fishing and related",g0.1,-2414.54178591141,-3485.603200360338,-3281.868697076216
Air transport,g0.1,-1031.6450443140711,-2073.706234623859,-1189.520953351352
"Arts, entertainment and recreation activities",g0.1,-1183.5251117385512,-2379.216227466164,-2211.034527654756
Construction,g0.1,-2091.617899793509,-3691.869463073186,-9011.434743045105
Education and public administration,g0.1,-9526.999674335635,-16467.039046389513,-23319.231703566602
"Electricity, gas, steam and air conditioning supply, and wasterwater",g0.1,-3071.1557847542254,-5406.118156900721,-3756.468608941257
Financial and insurance activities,g0.1,-27955.987648883303,-59709.82868430496,-36383.139727635986
Human health and social work activities,g0.1,-2210.522519297387,-2487.798477263568,-15935.506282484526
Land transport and transport via pipelines,g0.1,-3380.4901625421753,-6004.042362892033,-4407.32941281528
"Manufacture of chemicals and chemical products, pharmaceutical",g0.1,-4513.0579627038005,-8184.326404651179,-4932.896320980374
Manufacture of coke and refined petroleum products,g0.1,-4512.4198646442655,-8142.199057543135,-1767.4431275427296
"Manufacture of computer, electronic and optical products",g0.1,-871.7711369034637,-1639.7820445611642,-1366.2978118485698
Manufacture of electrical equipment,g0.1,-430.39440469343833,-708.389529169214,-786.6551875545993
Manufacture of fabricated metal products,g0.1,-3114.472083011747,-5244.9711943447155,-2813.110164725546
Manufacture of food and beverage and tobacco products,g0.1,-1630.4535324535154,-2243.442440222031,-8246.263108004716
Manufacture of furniture,g0.1,-2171.6916660290126,-2819.821619081895,-1751.676725643449
Manufacture of machinery and equipment n.e.c. ,g0.1,-910.7492822120291,-1532.8150984359893,-2692.960396626278
"Manufacture of motor vehicles, trailers and semi-trailers",g0.1,-1089.1904273710447,-1935.2858614367146,-5846.154634641406
Manufacture of other non-metallic mineral products,g0.1,-1360.6494883205462,-2215.762205834745,-1013.7689995518962
Manufacture of other transport equipment,g0.1,-831.5797231853694,-1245.1305726489836,-2058.407616207127
Manufacture of paper and paper products,g0.1,-2537.9577527794813,-4917.32084752326,-2176.006247210389
Manufacture of rubber and plastic products,g0.1,-1819.5986517406748,-3036.9175559703567,-2057.0084907941805
"Manufacture of textiles, wearing apparel, leather and related products",g0.1,-183.75447040608762,-286.84059222177865,-525.8715896224644
Manufacture of wood and of products of wood and cork,g0.1,-1313.3499990504165,-2075.0848504996393,-822.972090983988
"Mining, except oil & gas",g0.1,-973.8284932746369,-1850.1322354213364,-740.1414618290872
Oil and gas extraction,g0.1,-2450.5407106827333,-4401.279418571003,-1490.8885980289178
Other services + wholesale/retail,g0.1,-14777.141438388073,-25451.552526341922,-32118.818886568566
"Professional, scientific and technical activities",g0.1,-25736.141096321826,-50855.07386791466,-17174.784536122563
Real estate activities,g0.1,-16124.536494534585,-29288.411950934562,-23343.402205109564
Support activities for mining,g0.1,-218.23336692434611,-396.62162497990965,-1051.5984548013168
T,g0.1,0.0,0.0,0.0
Warehousing and support activities for transportation,g0.1,-4940.690246124608,-9603.253661182345,-3028.1962492519683
Water transport,g0.1,-262.9495972599588,-479.5757592242342,-596.0207891334215
"broadcasting, telecommunications, data processing, publishing, information services, motion picture, video, television",g0.1,-19054.577392597686,-40428.32557998332,-16973.60302782207
primary metals,g0.1,-1791.396641700291,-3753.5770761828226,-1986.300245059327
Accommodation and food service activities,g0.25,-2387.9534529659018,-4618.92407022023,-8637.9588137515
Administrative and support service activities,g0.25,-15577.145454524823,-31208.72751596944,-8945.595834171647
"Agriculture, hunting, forestry, fishing and related",g0.25,-2415.794827622198,-3484.9525433705485,-3193.420042559162
Air transport,g0.25,-1031.3356471814377,-2072.4187109055383,-1170.8085711031026
"Arts, entertainment and recreation activities",g0.25,-1182.5720945601133,-2376.345037246286,-2206.542628367365
Construction,g0.25,-2089.6422065481743,-3687.0010114327497,-8962.582685867717
Education and public administration,g0.25,-9528.92608263088,-16464.76698289644,-23354.680528433546
"Electricity, gas, steam and air conditioning supply, and wasterwater",g0.25,-3070.0392014255035,-5402.00900490228,-3748.0968456794126
Financial and insurance activities,g0.25,-27900.41477111781,-59576.621343037485,-36656.16447368024
Human health and social work activities,g0.25,-2209.934254239459,-2487.279582585698,-16023.199464264377
Land transport and transport via pipelines,g0.25,-3379.539804711779,-6000.098939513845,-4365.600564297569
"Manufacture of chemicals and chemical products, pharmaceutical",g0.25,-4514.096123851315,-8183.3659190456165,-4964.919349581541
Manufacture of coke and refined petroleum products,g0.25,-4512.833820377637,-8140.885526953276,-1721.3902613784244
"Manufacture of computer, electronic and optical products",g0.25,-871.6281821559165,-1638.9578365164227,-1355.3548167947615
Manufacture of electrical equipment,g0.25,-430.5225379265013,-708.4848231040995,-791.4501546768802
Manufacture of fabricated metal products,g0.25,-3115.0152687450186,-5244.619313804358,-2824.0764206123868
Manufacture of food and beverage and tobacco products,g0.25,-1629.7494470837887,-2241.227602857846,-8169.526271443265
Manufacture of furniture,g0.25,-2172.8430439584245,-2821.3598438415343,-1759.8820895335493
Manufacture of machinery and equipment n.e.c. ,g0.25,-910.9034030903783,-1532.6495266970426,-2679.8825506044764
"Manufacture of motor vehicles, trailers and semi-trailers",g0.25,-1090.101163253573,-1935.786111294539,-5779.143592655023
Manufacture of other non-metallic mineral products,g0.25,-1360.6579930839882,-2215.4333936623357,-1003.9917357613522
Manufacture of other transport equipment,g0.25,-832.0651120995325,-1245.5532657126605,-2039.8501359281458
Manufacture of paper and paper products,g0.25,-2538.3985877122363,-4916.076917452825,-2174.453932071744
Manufacture of rubber and plastic products,g0.25,-1820.546888251784,-3037.3922476249822,-2058.4125891057733
"Manufacture of textiles, wearing apparel, leather and related products",g0.25,-183.8008463077129,-286.80469854438167,-528.223272180438
Manufacture of wood and of products of wood and cork,g0.25,-1313.0956069955605,-2074.4109653708992,-810.3211931189938
"Mining, except oil & gas",g0.25,-974.0111930445305,-1850.1269717148346,-723.5530907364131
Oil and gas extraction,g0.25,-2444.0919380621235,-4388.660396725566,-1448.9179555837013
Other services + wholesale/retail,g0.25,-14775.000677068376,-25437.735251326365,-31999.52433509272
"Professional, scientific and technical activities",g0.25,-25732.32260796792,-50829.78053851175,-17319.928072686693
Real estate activities,g0.25,-16123.30916617131,-29276.897306589723,-23348.241112244752
Support activities for mining,g0.25,-217.6725611143114,-395.5319916049711,-1026.9798499627539
T,g0.25,0.0,0.0,0.0
Warehousing and support activities for transportation,g0.25,-4941.93319497476,-9601.177043224363,-3015.3817306521805
Water transport,g0.25,-263.0240717700169,-479.5587294492917,-597.2966304504178
"broadcasting, telecommunications, data processing, publishing, information services, motion picture, video, television",g0.25,-19034.82726640113,-40371.06692253057,-16950.990737828473
primary metals,g0.25,-1789.5349439622698,-3749.7607771635667,-1977.777227850065
Accommodation and food service activities,g0.5,-2382.3055161256857,-4605.445445182409,-8390.345891036206
Administrative and support service activities,g0.5,-15553.939346639732,-31143.12786816593,-8871.424184731162
"Agriculture, hunting, forestry, fishing and related",g0.5,-2418.6512690800664,-3483.6566624747325,-3022.2023607735146
Air transport,g0.5,-1029.378292638188,-2067.2613867608698,-1133.950908734514
"Arts, entertainment and recreation activities",g0.5,-1178.6584981268968,-2366.6503564178333,-2194.6826473226843
Construction,g0.5,-2083.523985019475,-3673.201051983277,-8861.687946715167
Education and public administration,g0.5,-9528.393242916178,-16452.014351221227,-23367.36854767735
"Electricity, gas, steam and air conditioning supply, and wasterwater",g0.5,-3066.134634560253,-5390.625620011812,-3730.913103343601
