region,build,Leontief,IIM,Ghosh
AGO,g0.1,-110.07507274156397,-204.59579902067986,-44.03792359036944
AK,g0.1,-588.2875897167245,-1080.9002935807648,-811.8461614298388
AL,g0.1,-2345.709497284673,-4368.939306522736,-3350.723477395679
AR,g0.1,-1321.8719706636919,-2414.4805482239517,-1867.9725035568592
ARE,g0.1,-203.66479764631885,-392.6879878998204,-765.4208873573398
ARG,g0.1,-122.3804979710872,-225.44656730455435,-282.91921018821864
AUS,g0.1,-268.40610956496744,-479.9113094636953,-766.2586189419876
AUT,g0.1,-183.57599296790178,-330.0816097182619,-234.3003985716473
AZ,g0.1,-3155.128748259416,-6019.222603806176,-4239.693635309183
BEL,g0.1,-523.272667652622,-992.8642612189484,-756.4514898558434
BGD,g0.1,-19.8630647679895,-33.918160533424654,-51.30392157258734
BGR,g0.1,-20.907080569987464,-38.31113451526603,-27.924478209647713
BLR,g0.1,-17.35596091220801,-32.25266035769554,-16.88688318720415
BRA,g0.1,-732.075005861705,-1329.6403241993337,-1280.9131375005104
BRN,g0.1,-3.6729096516161786,-6.690483617849227,-3.4311006584926287
CA,g0.1,-22136.848469276472,-43356.90811807332,-27291.908888716225
CAN,g0.1,-4119.923502290568,-7532.007592201395,-4266.4833107650875
CHE,g0.1,-826.5465965328664,-1615.0381727504443,-996.4599713805177
CHL,g0.1,-156.13126841634025,-262.4013012145241,-210.12006468460504
CHN,g0.1,-6683.273135897529,-11333.821883360106,-6432.599876812206
CIV,g0.1,-13.995968059676148,-21.311701776916863,-13.084172320032431
CMR,g0.1,-7.666197868396647,-13.884258480004307,-8.066717095797081
CO,g0.1,-3319.8911927198114,-6301.21312432397,-4494.050083790718
COD,g0.1,-7.9804583130391435,-14.200039944720817,-40.17061325449076
COL,g0.1,-230.7358025518069,-421.40661489746867,-314.65376998603085
CRI,g0.1,-49.206096506223204,-80.82998738586372,-93.95386285234957
CT,g0.1,-4382.152533980026,-8650.160666798929,-5121.215808514135
CYP,g0.1,-11.70905033664201,-24.063328946776164,-32.259244175449325
CZE,g0.1,-99.36523269168109,-178.84293683948457,-164.76249066794276
DC,g0.1,-1775.8229083876683,-3497.9889384052235,-2424.225877759157
DE,g0.1,-1221.259010443007,-2458.275382559053,-1254.5333101326255
DEU,g0.1,-2106.0908574774885,-3916.641566425137,-2963.061526547463
DNK,g0.1,-211.10621345801349,-388.2801103120227,-206.13692366939313
EGY,g0.1,-32.55510824942984,-61.20874415714874,-85.43684665018931
ESP,g0.1,-466.3435305235143,-844.1281002849437,-558.5097464731128
EST,g0.1,-17.507706251530426,-32.69221837813953,-16.624548458341536
FIN,g0.1,-127.44477806323971,-234.63492770698483,-223.52981356805597
FL,g0.1,-8439.690203888631,-16062.37116883244,-13605.622174436316
FRA,g0.1,-933.9555953694212,-1664.3068091480834,-1600.965894222154
GA,g0.1,-6680.467405819233,-12839.333427608557,-8757.469698001145
GBR,g0.1,-2318.4513137721174,-4633.793153698465,-2494.6811105533375
GRC,g0.1,-106.63085195359265,-202.0088555770117,-113.06805070347195
HI,g0.1,-1036.996481645452,-1931.0874509128519,-1734.9167476253283
HKG,g0.1,-237.53474941998803,-483.5372549936973,-330.1872831278649
HRV,g0.1,-10.816794613506461,-19.56254840061155,-23.399554355257298
HUN,g0.1,-75.57682088627412,-137.22357414396447,-137.08933324187817
IA,g0.1,-2177.7486565212716,-4086.0363121960113,-2838.791589955349
ID,g0.1,-655.8638332428574,-1188.5855921929385,-1032.2373076309818
IDN,g0.1,-279.8461655281144,-465.61710246136994,-297.8223618840036
IL,g0.1,-8740.954844758668,-16731.5913740983,-11029.692810796345
IN,g0.1,-4460.835338638151,-8274.246136626516,-6312.111050544579
IND,g0.1,-1723.2111752183846,-3195.036198159069,-1098.04371115379
IRL,g0.1,-670.1649549748054,-1256.8522409375905,-2870.5003857902707
ISL,g0.1,-22.130286469896603,-37.199085304047564,-25.01960024793651
ISR,g0.1,-339.61589100380445,-617.9485037199701,-388.7748323454631
ITA,g0.1,-691.8988937767206,-1193.7607769659385,-872.382294297132
JOR,g0.1,-9.9564522851263,-18.50002172827903,-24.582191443056683
JPN,g0.1,-1750.209637788234,-3163.252042814927,-3005.6516673749948
KAZ,g0.1,-46.01697602016049,-84.52356464083235,-54.04571435470415
KHM,g0.1,-7.05716338473479,-11.90803706364829,-5.107159371884981
KOR,g0.1,-1135.5968728901084,-2026.8347656557776,-1804.9449535049362
KS,g0.1,-1851.3114173118604,-3433.515897663585,-2571.550027587477
KY,g0.1,-2469.233258181916,-4602.728916802105,-3823.368147087596
LA,g0.1,-2671.4115942851595,-4935.5473239041285,-3308.9589140989583
LAO,g0.1,-2.1682700696941932,-3.7240082635841403,-1.5739017763023906
LTU,g0.1,-25.963504014213182,-46.08270174223411,-18.801352330842214
LUX,g0.1,-139.34652045906049,-285.6608441767429,-463.9673630629127
LVA,g0.1,-10.07938796589566,-18.132145737318236,-16.51255129241003
MA,g0.1,-6970.604393007656,-13556.87556016972,-8879.65333029682
MAR,g0.1,-29.443038942868135,-53.69786395826959,-51.969147569673055
MD,g0.1,-4474.044523915569,-8553.022318671758,-6790.398064683667
ME,g0.1,-665.0306599997349,-1236.6918723130154,-984.0406754045653
MEX,g0.1,-2082.562767267789,-3632.344746809591,-2793.2369701128628
MI,g0.1,-4670.170834724289,-8719.232486477033,-8242.497141358006
MLT,g0.1,-21.652268544339567,-44.36774942404075,-53.392462157339445
MMR,g0.1,-11.60427081831943,-17.627315709558793,-14.758904971831237
