build,gamma,intra_share,inter_share,mean_trade_distance_km,interstate_gini,leontief_repro_err,ghosh_repro_err
g0.1,0.1,0.45060345686900716,0.5493965431309928,1746.0833945851477,0.6383057507856823,42.34431676066015,38.45439680782147
g0.25,0.25,0.45060571297967134,0.5493942870203288,1679.500664930402,0.6422137332351607,42.344316761242226,38.45439680991694
g0.5,0.5,0.45061129385042814,0.5493887061495719,1559.3159555131915,0.6544555546180559,42.344316764501855,38.45439681049902
g0.75,0.75,0.45061929351479707,0.5493807064852029,1435.1750651271193,0.6736355867170335,42.3443167678779,38.45439681375865
g1.0,1.0,0.45062941712550364,0.5493705828744965,1316.1691707186012,0.6981245406108575,42.34431677206885,38.45439681690186
g1.25,1.25,0.45064086179641016,0.5493591382035898,1209.1067744416296,0.7252841022437698,42.344316775677726,38.45439682074357
g1.5,1.5,0.4506526093063746,0.5493473906936254,1117.3356519268232,0.752504714054968,42.344316780450754,38.45439682365395
g2.0,2.0,0.450673973340086,0.549326026659914,979.3464793396823,0.8003855394048951,42.34431678673718,38.45439682609867
g2.5,2.5,0.45069081985483306,0.549309180145167,889.5356748330651,0.8361970025639157,42.34431679151021,38.454396830522455
g3.0,3.0,0.4507038474412765,0.5492961525587234,832.7944661779541,0.8614389164574159,42.344316794886254,38.45439683098812
scen_economic,,0.4506528535988676,0.5493471464011325,1466.367954151841,0.6785868966527291,42.34431676578242,38.45439682761207
scen_structured_rand,,0.45066127970937403,0.549338720290626,1394.760599322372,0.6902429485284405,42.34431676857639,38.45439682772849
scen_random_0,,0.4506442389968961,0.5493557610031038,1065.9910157268152,0.7715541270161246,42.344316775910556,38.45439681597054
scen_random_1,,0.4506434503139103,0.5493565496860898,1300.1757128954023,0.7073803725619242,42.34431679430418,38.45439682807773
scen_random_2,,0.45064283084190127,0.5493571691580987,1206.1127987713326,0.7328562864356705,42.34431679698173,38.45439682470169
