build,gamma,model,direct,other_US,world,TOTAL
g0.1,0.1,Leontief,-523377.1472416928,-184455.35950246305,-37707.22474251228,-745539.7314866682
g0.1,0.1,IIM,-959301.2751384235,-350285.62492683204,-68177.3818803344,-1377764.2819455897
g0.1,0.1,Ghosh,-569467.5031992916,-254601.2786912971,-50705.12834605567,-874773.9102366444
g0.25,0.25,Leontief,-523565.95251494425,-184365.2834429582,-37719.00623970947,-745650.242197612
g0.25,0.25,IIM,-959334.7127486366,-349982.4486634044,-68181.24250429407,-1377498.4039163347
g0.25,0.25,Ghosh,-569710.2773489511,-254334.11956071053,-50707.069471202274,-874751.4663808639
g0.5,0.5,Leontief,-524160.9176881314,-183975.44057332075,-37747.07720157168,-745883.435463024
g0.5,0.5,IIM,-959853.71566499,-348966.36439623253,-68194.28696953115,-1377014.3670307535
g0.5,0.5,Ghosh,-570436.9379968899,-253573.4755086439,-50717.846845441716,-874728.2603509754
g0.75,0.75,Leontief,-525164.0151013238,-183231.10299832572,-37787.14431179376,-746182.2624114433
g0.75,0.75,IIM,-961081.8973743474,-347216.5583192466,-68218.40248317714,-1376516.858176771
g0.75,0.75,Ghosh,-571628.004302113,-252348.65341522716,-50736.28298992953,-874712.9407072698
g1.0,1.0,Leontief,-526555.487567019,-182148.1563591617,-37839.22592307265,-746542.8698492533
g1.0,1.0,IIM,-963009.6035259841,-344786.4905127978,-68255.89995914239,-1376051.9939979238
g1.0,1.0,Ghosh,-573256.4717140223,-250673.56350626762,-50759.87378287657,-874689.9090031665
g1.25,1.25,Leontief,-528230.1668129362,-180819.34510843497,-37901.07713724381,-746950.5890586148
g1.25,1.25,IIM,-965465.4160008361,-341881.66303419624,-68306.63627764297,-1375653.7153126753
g1.25,1.25,Ghosh,-575199.9891024063,-248662.77698264,-50787.28816721238,-874650.0542522587
g1.5,1.5,Leontief,-530042.9661279677,-179370.92453478556,-37968.62653319844,-747382.5171959517
g1.5,1.5,IIM,-968202.4806301018,-338768.07311278355,-68367.59615821709,-1375338.1499011023
g1.5,1.5,Ghosh,-577293.0182967647,-246484.54074608447,-50818.055430386,-874595.6144732353
g2.0,2.0,Leontief,-533556.1014907763,-176564.7263147724,-38102.896873085585,-748223.7246786342
g2.0,2.0,IIM,-973621.2900182735,-332831.1895181834,-68501.48682509722,-1374953.966361554
g2.0,2.0,Ghosh,-581332.5858293262,-242260.97770868865,-50886.786714025584,-874480.3502520404
g2.5,2.5,Leontief,-536412.9822401349,-174303.98117516312,-38216.602737647234,-748933.566152945
g2.5,2.5,IIM,-978094.9547785539,-328111.86521765805,-68626.3764983069,-1374833.1964945185
g2.5,2.5,Ghosh,-584609.3472968944,-238838.6064032467,-50957.67339477662,-874405.6270949177
g3.0,3.0,Leontief,-538471.0836552423,-172719.99656785803,-38304.0181415532,-749495.0983646536
g3.0,3.0,IIM,-981350.4688840528,-324825.9283737156,-68730.6822337641,-1374907.0794915324
g3.0,3.0,Ghosh,-586968.3573163013,-236395.4001856005,-51022.759859470265,-874386.5173613722
scen_economic,,Leontief,-524726.3575556122,-184268.27284814132,-37958.16390250832,-746952.7943062618
scen_economic,,IIM,-960033.5038389802,-349094.8306878689,-68387.86425127095,-1377516.1987781203
scen_economic,,Ghosh,-570728.6728412452,-252883.7188145991,-50763.731126638544,-874376.1227824826
scen_structured_rand,,Leontief,-525341.9202194293,-183762.4378173828,-37965.56779168129,-747069.9258284933
scen_structured_rand,,IIM,-960899.202645263,-347965.8715068033,-68398.5473947764,-1377263.6215468426
scen_structured_rand,,Ghosh,-571530.677560542,-252151.5173684293,-50781.055204740944,-874463.2501337123
scen_random_0,,Leontief,-532199.2108509187,-177182.15758581,-37994.24522363863,-747375.6136603673
scen_random_0,,IIM,-971848.7797902338,-334445.9173600004,-68409.53215915056,-1374704.229309385
scen_random_0,,Ghosh,-579967.0316591844,-243796.46745430655,-50911.416042374425,-874674.9151558654
scen_random_1,,Leontief,-526889.7643443088,-182537.82168311844,-37922.6656469812,-747350.2516744083
scen_random_1,,IIM,-962630.3288212392,-345312.428436564,-68380.05395319467,-1376322.811210998
scen_random_1,,Ghosh,-573872.8939735483,-249885.16141374395,-50881.09268162308,-874639.1480689154
scen_random_2,,Leontief,-528092.2155111228,-181650.7678493617,-38035.26089964132,-747778.2442601259
scen_random_2,,IIM,-963826.8476506985,-343351.2708534983,-68448.74846795961,-1375626.8669721563
scen_random_2,,Ghosh,-575124.6734909833,-248167.29331263772,-50848.090412196485,-874140.0572158174
